Student_ID,gender,branch,cgpa,tenth_percentage,twelfth_percentage,backlogs,study_hours_per_day,attendance_percentage,projects_completed,internships_completed,coding_skill_rating,communication_skill_rating,aptitude_skill_rating,hackathons_participated,certifications_count,sleep_hours,stress_level,part_time_job,family_income_level,city_tier,internet_access,extracurricular_involvement,placement_status,salary_lpa
1,Male,ECE,3.74,63.6,35.9,0,3.3,51.2,1,2,2,3,2,0,1,6.5,8,No,Low,Tier 2,Yes,Low,Not Placed,0.0
2,Female,ECE,3.33,43.3,54.8,0,2.9,56.2,4,2,3,3,4,1,1,7.3,6,No,High,Tier 2,Yes,Low,Not Placed,0.0
3,Female,ME,1.76,21.8,44.4,0,0.8,61.6,3,1,2,5,2,1,0,6.3,5,No,Low,Tier 1,Yes,Medium,Not Placed,0.0
4,Male,CSE,6.07,67.8,67.6,0,7.3,41.1,4,2,4,0,2,4,4,8.1,5,Yes,Medium,Tier 3,Yes,Medium,Placed,14.66
5,Male,ME,4.77,50.0,76.5,2,5.1,71.0,4,1,3,2,1,2,2,7.9,6,No,Low,Tier 2,Yes,Medium,Not Placed,0.0
6,Male,CSE,8.66,82.4,95.5,0,6.9,82.4,3,4,3,5,3,2,1,7.7,7,No,Medium,Tier 1,Yes,Medium,Placed,16.78
7,Male,IT,0.32,22.1,27.4,0,1.9,31.0,1,0,0,2,1,2,1,6.2,7,No,Low,Tier 3,Yes,Medium,Not Placed,0.0
8,Female,ME,6.44,53.7,61.5,0,5.2,65.5,3,2,3,1,4,3,1,7.7,1,Yes,Medium,Tier 1,No,High,Placed,13.17
9,Female,CSE,7.63,65.4,85.3,0,4.2,76.4,5,3,4,5,4,2,0,6.1,3,No,Low,Tier 2,Yes,Medium,Placed,15.77
10,Female,ECE,7.59,79.7,80.9,0,9.8,88.0,4,3,3,1,3,1,1,6.9,6,No,Low,Tier 2,Yes,Low,Placed,14.85
11,Male,CSE,8.86,90.1,94.1,0,7.9,81.7,5,4,5,4,5,4,5,4.0,3,No,Medium,Tier 3,No,Medium,Placed,18.68
